Text,Author,Likes,Date
She look so cute 😊,Saiee Dance Queen 👑 95 and activities all,0,2023-08-03T03:25:14Z
Who will support Jenny forever ❤❤❤,محمد مصطفى,0,2023-08-02T21:43:37Z
queen nini,💋_Jennie_Lalisa_💋,0,2023-08-02T16:11:09Z
I love you Jennie ❤,Hartini Sri,0,2023-08-02T02:57:22Z
2M lets go,jay,0,2023-08-01T23:56:40Z
"당신은 매우 아름다워요, ♡♡",Enas Ahmad,0,2023-08-01T18:07:13Z
♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♥︎♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♥︎♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡,Enas Ahmad,0,2023-08-01T18:04:48Z
Hiiii What is your concert please anyway is it going to be I want to buy tickets because when I want to buy tickets when you just released it in about a second I don’t buy no more I Whant to go to a concert,Halaami1029,0,2023-08-01T12:05:08Z
"I got to know this brand cause of you Jennie,I love you in purple 💜",Anis.,0,2023-08-01T09:46:00Z
I am your big fan from Bangladesh🎉🎉,Gaming with Adiba,1,2023-08-01T08:46:08Z
"*_♡ _**_1:30_**_ _**_2:32_**_ _**_3:19_**_ _**_4:49_**_ _**_5:13_**_ _**_5:45_**_ Jennie ah! I really can't resist your charming beauty_* 😲😍🤩😋😇🥰 *_♡ _**_2:00_**_ Her wind kiss is so cute_* 😘🤳 *_♡ _**_1:33_**_ _**_2:25_**_ _**_2:29_**_ _**_2:45_**_ _**_3:16_**_ _**_4:01_**_ _**_5:08_**_ I love your sunny smile_* 😉😊😇🤗 *_♡ _**_2:38_**_ OMG You dance so cute_* 🤩😅😍 *_♡ _**_3:52_**_ She's like a baby curled up in a big blanket (it's so cute)_* 👶💌 *_♡ _**_5:35_**_ Cute voice_* ☺👂😊👂",thanh⚘phạmଓ ,0,2023-08-01T00:10:45Z
Hehehe 😮,lalalisa_m,0,2023-07-31T19:55:11Z
Ok 👍,Jimmy Crystal 💎💠,0,2023-07-31T19:53:06Z
You are so beautiful ❤ love you,Princess Hoor,0,2023-07-31T19:01:05Z
Jennie is so cute and hot 🔥,Neeraj Pratap,2,2023-07-31T15:03:26Z
I'm so sad next day because blackpink disband,Bhavna Ramnik,1,2023-07-31T11:51:43Z
✨👗👠Nice girl👧,hirokun.,1,2023-07-30T19:36:03Z
