Text,Author,Likes,Date
"Zain quietly indicating to the camera that his heart was racing after he won against Ken, was somehow really endearing lol",bananana,0,2023-07-31T23:47:08Z
That’s pretty sad.,Josh Sinsapaugh,0,2023-07-26T15:34:56Z
dude has hennesy on his desk lmfao,Squid Farm,0,2023-07-24T09:54:54Z
that one alvin and the chipmunks episode,Zappers,0,2023-07-24T09:19:14Z
been a while since a video captivated me lol,luther niheu,0,2023-07-23T19:12:41Z
。。。,Iron 451,0,2023-07-20T15:01:01Z
how did I not notice the guy in the back until 20 seconds in,Evan ,0,2023-07-19T22:48:59Z
What's the bottle of Henny? lol,YCudaOrYBaby,0,2023-07-18T21:21:18Z
I would of instantly picked up the skill difference in each controller swap. No way can someone do 0% one match and then utterly destroy a player in the next.,BashXIII,0,2023-07-17T01:57:39Z
zain is nuts,ׂ,0,2023-07-14T07:11:27Z
is that hasan,cheong kai,0,2023-07-14T06:46:21Z
BAITED 😂,Yuuri-san,0,2023-07-14T00:43:24Z
I see that Henny 😂,AerospaceHawk,0,2023-07-13T21:10:50Z
Isn't the best smash player mexican?,Manuel Civeira,0,2023-07-13T19:37:59Z
Different smash game,Evade Kiryu,0,2023-07-13T21:25:43Z
That is so genius 😂,Vick KnewZeus,0,2023-07-13T06:04:10Z
since jiggelypuff you should have gotten hungrybox. but i understand why you did not,Ray,0,2023-07-11T23:14:47Z
He recently signed zain that’s why,Evade Kiryu,0,2023-07-13T21:26:07Z
Would have been fucking hilarious if he just said he wanted to try out Marth and switched to Zain.,Booder,0,2023-07-09T19:12:21Z
zain is so cute what the heck T-T,Rosewood,0,2023-07-06T08:10:40Z
@4:55 Omg what is the name of the song!,Hamburglar247,1,2023-06-30T06:04:25Z
THE DM FROM KEN - EPIC!,Retro Bros,0,2023-06-30T04:27:24Z
Fell off,BreadstickGOD,0,2023-06-29T20:35:31Z
Is that a real person in the background?,CherryBlossomTherum,0,2023-06-29T20:29:35Z
Fake,M&N highlights,0,2023-06-29T17:31:58Z
how much you paid to hire that man in background? 7:47,Venky OG,0,2023-06-29T02:40:44Z
"""I used to be one of THE Super Smash Bros. players of all time"" Ah yes, on of THE of all time.",Daitexe,1,2023-06-27T11:09:17Z
P,"Im Rad, Man",0,2023-06-24T12:29:00Z
actual fraudster,tetertotter,0,2023-06-22T23:21:17Z
Ughhhhhhggggghhhhhh who even,Poorleeno,0,2023-06-19T04:58:48Z
bro is Lelouch,Lord,0,2023-06-18T06:22:29Z
Lol,ZackTheMuffinMan,1,2023-06-17T07:05:36Z
Bro became hbox,stevenz2120,1,2023-06-15T23:48:46Z
Susan couldn't help huh. Pathetic liar.,Funzies,0,2023-06-14T05:20:42Z
This is entertaining,Kuroneeeeeeeeeko Chan,0,2023-06-11T08:38:13Z
you should hire M2K,Midno Green,0,2023-06-10T00:15:14Z
hitler in 1945 : 1:51,Yee,0,2023-06-06T19:35:18Z
Lud is so interesting,Sasha,0,2023-06-04T00:15:52Z
Do that on Lol,Nathaniel Loiseau,1,2023-06-03T00:46:12Z
Ludwig is literally one of the ppl to piggyback off of the melee scene. good job,Ocean Mann,0,2023-06-01T10:39:29Z
most important thing is did ken find out? lol,mojojojo,0,2023-05-29T10:42:32Z
Bruh one of the chat said “pay to win”. He actually predicted what really happened.,Konjiki,0,2023-05-28T01:20:00Z
Henny bottle at 2:11. LFG,vuskeedoo,0,2023-05-23T23:25:00Z
The henny bottle right behind the screen... yeah,SkyZ StarDust,0,2023-05-23T16:14:36Z
Zain seems like such a nice guy,Meerz,0,2023-05-21T12:28:48Z
Ludwig has some pro level gaslighting and we Stan lol,Christine Yamata,0,2023-05-20T23:16:47Z
he truly was one of the ssb players of all time not one of the best not one of the worst just one of them.,Logan Latios,1,2023-05-19T14:39:36Z
Ludwig believed in Zain's skills even after all those initial Ls. That's like a proud parent & gamer kid relationship. Beautiful.,ninjaydes,3,2023-05-17T21:17:44Z
❤❤❤❤❤❤❤ JIGGLYPUFF!!! ❤❤❤❤❤❤❤,Vixey Teh,0,2023-05-17T12:24:37Z
The plan was simple!,Vixey Teh,0,2023-05-17T12:24:02Z
it wouldve been funny if his greenscreen fell and you could just see the dude playing for him in the back lmao,Whitebeard,1,2023-05-10T03:05:24Z
"Hey @ludwig, you have more subs than Mr Top 5 now.",Houligan,0,2023-05-06T17:01:10Z
Bro took backseat gaming to a whole another level,SevenDeadlyBraincells,2,2023-05-05T15:56:15Z
7:20,Teslas Tacos,0,2023-05-03T19:56:00Z
Do you have to have a GameCube to play,RainyVr,0,2023-05-03T15:11:57Z
Either GC or Wii. You can't use a USB loader or anything like that.,LukeSaward,0,2023-06-17T13:37:53Z
"Ludwig: I am better than 99.9% of you Zain, cracking his knuckles: 100%*",Marco Cassone,0,2023-05-02T13:31:51Z
damn this videos taking off,Ahmed Malik,1,2023-04-29T00:32:49Z
as Zain proved its not about skill its about knowing your character well then skill.  if you random select characters for each match that is when you find the best players. not people that play only one char well but many.,DarkShadowsX5,2,2023-04-28T23:16:13Z
one of the pros of being a youtube frog is that i will NEVER be gaslit,Jason Walker,1,2023-04-28T04:55:18Z
Now we know how he beat DougDoug,Alex Prendes,0,2023-04-26T20:42:47Z
Ludwig is definitely one of The youtubers of all time.,Marco López,0,2023-04-26T15:46:16Z
zain is so cute,Ichorfly K,0,2023-04-26T05:18:23Z
Atlist he was honest ! 👍🏻,Birash K Sangma,0,2023-04-25T22:08:11Z
my name is zane and it freaks me out hearing ludwig say my name so much,Busta-_-Busta,0,2023-04-25T21:32:10Z
No one talking about the fact that ludwig was wearing a towel in his bottom when meeting zain😂😂😂😂😂,Bunny-kun,0,2023-04-25T16:16:21Z
zane playing good against ken but bad against random chatters is funny,aqn01,0,2023-04-25T14:42:26Z
"You know, I'm starting to believe that this video were made to apologize to Ken",Faris a,0,2023-04-25T07:03:40Z
"Moral of the story :         ""don't get into someone's privacy without invitation""😂",hy Nour,2,2023-04-24T17:46:40Z
I say right foot creep,weirefsh,1,2023-04-23T17:27:21Z
Literally any time he does something half decent in a game now Chat: Who's playing for you ???,Whatasnipe,1,2023-04-23T17:21:23Z
2:40 Walmart pro gamer 💀,송천,0,2023-04-23T16:12:30Z
His heart was in his mouf.,J.P. Simen☆,0,2023-04-22T22:49:29Z
I just love how I know Ken from Survivor and didn't know he was the #1 smash player in the world until now,CrewUnited10,0,2023-04-22T21:56:29Z
why he looking like justin bieber in 0:25,sana,0,2023-04-22T16:50:02Z
Damn I used to play melee brings back memories,Fred Jeff,1,2023-04-22T09:59:12Z
4:03 guy in chat know something),kto-to,1,2023-04-22T01:20:27Z
THIS GAME SUCKS,777Kiq,0,2023-04-22T01:12:38Z
lol,Haiji,0,2023-04-21T13:25:19Z
LMAOOO,Snail 🐌,0,2023-04-21T12:26:00Z
Whats the difference between this and that news person cheating in chess? Jw,JareBareXP,0,2023-04-21T10:30:28Z
Cap,ReverseTuring Test,0,2023-04-21T06:24:33Z
nice hair :D,I LIKE DUCKS :D,0,2023-04-20T17:45:20Z
I thought it was xqc🤣,Jannikegomez,0,2023-04-20T16:00:26Z
Video starts at 4:38 for anyone that doesn't like to waste their time,Lius,1,2023-04-20T04:33:11Z
Anyone else watch the Smash Bro's documentary on Youtube? Same music I think at minute 5 in this video haha nicely done,Dan Schrader,0,2023-04-19T23:25:00Z
FUN,Pokec,0,2023-04-19T22:01:17Z
im glad you are going back to tell about your roots lmao,Young_Jedi510,0,2023-04-19T19:19:22Z
W is a W,zvezoo,0,2023-04-19T18:46:47Z
Ur still and L at this game.,v0id_Crizmatic,0,2023-04-19T16:28:20Z
Eyyyy my Name Got into the video different Spelling Thats the case atleast im good at it🤗,Zane GamingYt,0,2023-04-19T13:33:38Z
Ludwig sniperwolfing for content easy sub,Sprawly,0,2023-04-19T03:47:57Z
"""i hired"" and ""secretly"". How.",Gustavo,0,2023-04-19T00:33:44Z
smash community is still the worst,MaxTerminateHole,0,2023-04-18T14:59:57Z
hahahah,Miguel Paredes,0,2023-04-18T12:09:53Z
isn’t the best itw mkleo?,nicolaaaaasss,0,2023-04-18T10:51:28Z
Different smash game,Evade Kiryu,0,2023-07-13T21:27:06Z
Faze Jarvis,HorseyDieGoat,0,2023-04-18T06:17:26Z
When the only way lud gets his chat's respect is by gaslighting them in a video game 😂,Poshuwog,3,2023-04-17T23:59:00Z
Every gamer felt that chest pat,Alton Haney,0,2023-04-17T23:21:00Z
Lud confessing before he's caught by Karl Jobst,Saar Namir,0,2023-04-17T19:53:45Z
"Damn, chat L 😂",619RS,0,2023-04-17T18:24:01Z
bro has a bottle of henny just sitting on the desk 2:07,Cherry Abraham,2,2023-04-17T13:12:33Z
Should have gotten Leffen to play for you instead,Ichigo Wolf,0,2023-04-17T10:32:01Z
2:18 he said the thing lol,ItsRuthy,0,2023-04-17T03:15:41Z
"I would be afraid to post this video now, with the way Nintendo is copyright striking everyone lately.",Michael 777,1,2023-04-17T02:04:33Z
Respect Zain💀,PTR Official,0,2023-04-17T01:51:45Z
2:18 the bottle of henny got me laughing,Justin Cativa,0,2023-04-17T00:33:03Z
"That was really weird. And you called Ken the best, he's not.",Nekotaku TV,0,2023-04-16T23:45:11Z
This is what Nadia does now that cronus is detected on mw2,Will Vani,0,2023-04-16T23:03:30Z
How did you play on pc,FLOW,0,2023-04-16T20:26:16Z
God I fucking hate Ludwig get this dogshit out of my recommended,Mateo Moore,0,2023-04-16T19:01:22Z
how can i play this game?,BoredPepe,0,2023-04-16T17:19:09Z
subpar vid,absent -,0,2023-04-16T15:52:01Z
yes ludwig was very THE,Nakamako2,0,2023-04-16T13:34:00Z
ok but who tf asked,ThySmoker,0,2023-04-16T12:33:47Z
"""unless there happens to be a smasher in this room""",Andrew piggy,0,2023-04-16T08:31:07Z
Ludwig should do one of those like fake youtube apology videoes but not to his chat and purely just to Ken the whole time memeing on his chat,Ashley Lightheart,0,2023-04-16T07:03:31Z
"You should've been like ""I'm so much better that I can pick a shit character like Roy and beat you"" then have Zain destroy everyone with Roy.",Divagaciones,0,2023-04-16T05:55:31Z
If you do a minecraft bedwars section of mood moguls… hit me up 😂,ItsCookiietv,0,2023-04-16T05:45:51Z
this is so cringe,StonerDad,0,2023-04-16T05:43:22Z
W,KadensGames,0,2023-04-16T04:10:38Z
Cheater,HappyHippoEaters,1,2023-04-16T02:29:42Z
shouldve gotten hungry box for that jigglypuff,Brötchenkatze,0,2023-04-15T20:48:59Z
I think he lying but in comment everyone fell for it  dying to a pro gamer aren't mean u  bad yt true  Youtuber whom those  entertainment viewers,LICHT archi,0,2023-04-15T19:13:37Z
Scamming chat with $100 money matches against a pro. Like a new aged pool shark.,DaddySmilkies,0,2023-04-15T18:46:38Z
Wtf is that hair?! Imagine cutie loved it 😂,NORCAL5FINEST TTV,0,2023-04-15T17:41:12Z
Zain is an actual legend dude,repi,0,2023-04-15T16:53:25Z
"I think at this point, every time Ludwig seems to show off, we're just going to assume cheating. First the chess match with Stanz, now this. I'm not sure people are trusting Ludwig after this.",Adyj 1411,0,2023-04-15T16:47:50Z
Bahahhahahahaha 😂,BAKESHOTZZ RASTA GAMUH,0,2023-04-15T16:21:32Z
How do I get my hair like yours?,Richard Haughton,0,2023-04-15T15:56:20Z
Ludwing is genius he didnt cheat coz he didnt play at all,julien sanchez,0,2023-04-15T13:28:45Z
"Oh hey, that’s me (no)",InZain,0,2023-04-15T11:09:56Z
Ken : BRO I'M BOUTTA SUPER SMASH YOUR AS-,𝙿𝚑𝚢𝚜𝚒𝚌𝚡 #road 𝚝𝚘 1𝚔 𝚜𝚞𝚋𝚜),0,2023-04-15T10:30:24Z
Everyone subscribe to the Legendary Zain or e l s e... y o u ' l l s e e a n I C B M,ShopMrBeast,0,2023-04-15T10:09:48Z
talk faster ffs,TheCuriosify,0,2023-04-15T09:26:21Z
Ludwig: liquid Ken wants to play? Former best smash player in the world?  Zain: 👁👄👁,Sammy Salgado,0,2023-04-15T09:18:19Z
Got the Henny bottle on the desk 👀 02:06,Ernest Jennings,0,2023-04-15T09:05:22Z
This guy reminds me of Ludwig,I’m a dude that barely uploads and you read this ?,1,2023-04-15T08:31:10Z
Damn this video is blowing up huh,GLUBSCHI,0,2023-04-15T04:40:11Z
This was kinda anticlimactic,Ribcut,0,2023-04-15T04:27:02Z
Riley Miller is my teacher’s nephew,Lil’ Jim,0,2023-04-15T02:59:42Z
dude just forced the highest ranked super smash bros to create a new monster 💀,Marc Typical,0,2023-04-15T00:13:52Z
Nice ',Matthew Keen,0,2023-04-14T22:58:56Z
"turn to Christ Jesus. He died on a cross for you, repent and get your life right so u could have eternal life.",cat,0,2023-04-14T22:44:25Z
Amen,Drago,0,2023-04-14T23:42:42Z
Lug wig somehow looks like home lander,What have I created,0,2023-04-14T22:30:49Z
name of the last ost?,Giuseppe Mascolini,0,2023-04-14T19:30:07Z
IT’s official you’re a good smasher,Tacoyeah,0,2023-04-14T19:29:08Z
YOU PRANKSTER AHAHAHA YOU SILLLY AHAHA,Random Stranger,0,2023-04-14T19:28:56Z
lol,Patrick Memes,0,2023-04-14T19:20:29Z
Not seeing ken as top comment:,celestial_crash,1,2023-04-14T17:36:05Z
Pog,Sheeesh21,0,2023-04-14T16:59:07Z
GG's Zain!,Velix,0,2023-04-14T16:55:54Z
Zain had to be trying so hard not to yell after that win XD,Conner Day,0,2023-04-14T16:44:09Z
This makes think in sniperwolf and her overwatch's top 500 rank,Iván Ignacio,0,2023-04-14T16:06:38Z
Hungry box would have been interesting since he is the best jiggly puff player,Jason Voeltz,0,2023-04-14T16:05:54Z
"Hang on, no one gonna talk about how clean that uchiha jacket is?",S0l0 Striker,1,2023-04-14T15:53:47Z
Another prominent streamer promoting some “harmless” cheating,theyRnothappy,0,2023-04-14T15:46:46Z
Ken belike   ☠️,Tahmina najnin Parul,0,2023-04-14T15:40:41Z
hahahahaha i laugh so fucking hard wtf the concept is so briliant,Rahmat Rizki,0,2023-04-14T14:57:15Z
Freaking loved it!,Asherat,0,2023-04-14T12:47:14Z
"Finally Ludwig you are better than Mr top 5, the most popular YouTuber in you small state and town yeah",Julie,1,2023-04-14T12:30:35Z
Yes exactly,Joku Ihminen,0,2023-04-14T18:51:23Z
Producers are making video games easier. More sales. It takes less skill to be good now. It's about the money for the company,LoveNote__Open,0,2023-04-14T12:24:43Z
in short ludwig arranged a pro game with sometimes him playing instead of Zain,Xeno,0,2023-04-14T12:01:09Z
“There’s no sponsor in this video” n did a sponsor skit minutes before.,Huevos,0,2023-04-14T08:16:00Z
"That last mix up was disgusting, that empty hop was wild!",Hustle Plastic,0,2023-04-14T06:50:46Z
At 4:03 someone said “SCRIPTED”,painful lies,1,2023-04-14T06:13:21Z
Why tf does he look like roman from GTA 4,CJDawgz,0,2023-04-14T05:38:29Z
MY NAME IS ZAIN spelt the exact way,Ouncer,1,2023-04-14T04:17:26Z
He is defiantly a player of all time,WizardSensei,0,2023-04-14T01:15:19Z
he used to be one of the players of all time man he told us,Ghozt,0,2023-04-14T01:11:53Z
This is one of the only streams I watched recently because they are on so late here. I just saw him lose to exter didn't see the rest of it,T perm,0,2023-04-13T23:45:45Z
what's he using to play smash? +,PugZe,0,2023-04-13T23:04:18Z
Kachaw,Kiefsgv,0,2023-04-13T22:41:30Z
,RoyalCommander,0,2023-04-13T22:34:44Z
Uummm you cant do that ?,Petra Leenders,0,2023-04-13T21:09:33Z
bro just did the joseph joestar strategy,Eskii ツ,0,2023-04-13T20:35:11Z
Hennessy bottle in the setup is fire,Mema KxM,0,2023-04-13T19:35:29Z
"4:02, anyone noticed MattyIce?",RifleOrcaGames,0,2023-04-13T19:34:25Z
How FAKE... ... Si 💀💀,John p,0,2023-04-13T18:17:59Z
how many times can he lie to his audience and get away with it,Cibu,0,2023-04-13T17:44:27Z
what,moonlight fitz,0,2023-04-13T16:56:06Z
Should’ve hit up hbox,Henry M,0,2023-04-13T16:18:37Z
HOW SOMEONE CAN PLAY THIS SHIT,ljafnofat,0,2023-04-13T15:40:24Z
bro forgot to put the word best at the start lmao,AURA X KIRA,0,2023-04-13T15:00:34Z
zain seems like a humble guy,Flirex Gaming,0,2023-04-13T13:51:39Z
Ludwig cheat again ! Last time I saw he co-op with Levy Rozman ...,Alcadeias01,0,2023-04-13T13:44:06Z
What's crazy is Zain 4-0'd Ken on Puff,spirit,1,2023-04-13T13:06:46Z
AHAHAHAHAHA YOU'RE A GENIUS,Koble,0,2023-04-13T12:31:52Z
Who's that guy in his background 😮,Tadaki Itsuki,0,2023-04-13T11:33:09Z
Where does he stream,Kakao Gaming,0,2023-04-13T10:49:02Z
"“ For God so loved the world that he gave his one and only Son , that whoever believes in him shall not perish but have eternal life.”-John 3:16  “Therefore, son of man, say to your people, ‘If someone who is righteous disobeys, that person’s former righteousness will count for nothing. And if someone who is wicked repents, that person’s former wickedness will not bring condemnation.” -Ezekiel 33:12  Trust in Christ and he will make his home in your hearts (Ephesians 3:17)  Repent while you still can. God loves you :),",Benny,0,2023-04-13T10:33:00Z
bro got the irl hack,xei,0,2023-04-13T09:26:48Z
bro cheated in chess and now in smash,tos1c3,0,2023-04-13T09:04:00Z
geeks,FrankoTheDon,0,2023-04-13T07:05:50Z
"Wait you hired someone to play for you, to people you can say you can beat? Doesn’t that defeat the purpose that you’re better……? You lost in my books.",Fake Person,0,2023-04-13T06:36:00Z
ur saying i went against the worlds best player,Blake MCLEARY,0,2023-04-13T06:23:56Z
i wanna see kens reaction lol,JFOV,0,2023-04-13T05:59:23Z
Zain is such a cutie,Chicken Bird,2,2023-04-13T05:32:41Z
"how the hell were randos able to beat zain's jigglypuff, he is still extremely good at jigglypuff and has beaten other top players with her",Mark Bahor,1,2023-04-13T01:21:00Z
lachlan haircut??,Lowka,0,2023-04-13T00:49:43Z
Ludwig good as acting lol not gonna lie.,Fasa,0,2023-04-13T00:26:56Z
Should've gotten Hungrybox,David .D,0,2023-04-13T00:10:12Z
GGS,ThomazShelby,0,2023-04-12T23:29:26Z
I dont understand why he didnt hbox who is literallly the best jigglypuff,Remi 1771,0,2023-04-12T22:46:29Z
😂😂😂 amazing,Ivan Lovera,0,2023-04-12T22:31:22Z
At least he said sorry 😅,pc_go,0,2023-04-12T21:57:26Z
4:20 ... Susan quit a while ago,Mart,1,2023-04-12T21:52:32Z
Whats the outro?,Thanarie Racini,0,2023-04-12T21:49:15Z
"ZanySidekick? More like, Zain my Sidekick.",RarePupperr,0,2023-04-12T21:47:57Z
maybe ban for cheating  ?,Boris Mor,0,2023-04-12T21:37:59Z
@lugwid CACKEDD,All Snowy,0,2023-04-12T20:46:46Z
Just pretend that Ludwig didn't cheat,BTK xKnight,2,2023-04-12T20:04:19Z
What season was it?,Gamer_Guy,0,2023-04-12T19:39:22Z
"Not only did zain win, mfer beat his own character, yk how hard that shit is?",RyZ,0,2023-04-12T19:18:54Z
Second most subbed in your school,Phillip Stewart,0,2023-04-12T18:06:15Z
WHAT IT WAS ALL FAKE??,Grayson,0,2023-04-12T17:29:45Z
i swear thast harbor,ItsMgee,0,2023-04-12T15:56:14Z
The guy looks like Walter jr,SatanicSlayer6 xd,0,2023-04-12T15:48:39Z
You're going full Nathan for you at this point,yesidoskate,1,2023-04-12T14:10:36Z
"Say ""skull issue"" in reply when he cheating",DummyTestPlayz,0,2023-04-12T13:06:00Z
Damn he's calling moist his already lol,Tommy B,0,2023-04-12T11:50:17Z
5:42 why dont you ask him how to get better?,Maragi,0,2023-04-12T11:42:26Z
zain is the real mvp here,VizlesRS,0,2023-04-12T11:28:05Z
Ken should sue for the cheating and the emotional damage....one million dollars would do.,Jon T,1,2023-04-12T09:08:11Z
Zane literally has the vibes of a number one smash bros or any video game player.,Jon T,0,2023-04-12T09:04:53Z
streamers been doing this for awhile having skills and the personality is rare,Michael Blais,1,2023-04-12T06:30:25Z
U look like average jignesh,Ayush Kumar Singh,0,2023-04-12T05:18:38Z
I could beat everyone with the master hand glitch in that game.,Shadman Supporter,1,2023-04-12T03:34:03Z
You're the absolute cringe lord,HurtOne,0,2023-04-12T00:34:18Z
You were not THE smash player. You arent an OG in the game. Stop it.,MR BP,0,2023-04-11T23:53:19Z
lud is a great actor,John Domingo,0,2023-04-11T23:40:18Z
Wow,cru maxxwell,0,2023-04-11T23:03:35Z
hahhahahaaa,Abby Nuevo,0,2023-04-11T23:00:41Z
You should have went bo9 with the Marth mirror after hahah,MistahJuicyBoy,0,2023-04-11T21:00:12Z
𝕀𝕟𝕥𝕖𝕣𝕖𝕤𝕥𝕚𝕟𝕘,Richie Kasiram,1,2023-04-11T20:57:56Z
Been awhile since we’ve had some good melee on this channel,Emmanuel Martinez,0,2023-04-11T20:52:05Z
Then after gaining their respect he will show them it was a sham and lose their respect and his dignity,coolguy_cr,1,2023-04-11T20:21:40Z
Moist Moguls 💀,Umar Khan,0,2023-04-11T20:13:07Z
🟦,BLAZIE BBL,0,2023-04-11T20:10:17Z
Lmao,Anup,0,2023-04-11T17:00:24Z
The bottle of henny on his desk😂,Baltazar Miguel,0,2023-04-11T15:12:31Z
Ludwig kinda looks like jim carrie,Gavin Luna,0,2023-04-11T14:46:10Z
bro wrapping his controller up was so cringe .,R L,0,2023-04-11T14:32:57Z
mutahar?,perc 30,0,2023-04-11T13:37:50Z
LEGEND GAMER.,KISHAN _ 2103,0,2023-04-11T13:23:31Z
"Yo, Lud's acting skills are pretty good",R4v3nB14ck,0,2023-04-11T12:58:49Z
Pov the Haters who whatchd this vid:bruh thanks vor the tipp you cheater,SHADOW,0,2023-04-11T12:49:43Z
only a smash player would think like this,Anthony G,0,2023-04-11T12:37:23Z
That's why smash isn't a real fighting game. You don't lose muscle memory on a stick.,Mickael Ferri,0,2023-04-11T12:28:01Z
what lmao,LuckyOwl777,0,2023-04-13T00:13:36Z
