Text,Author,Likes,Date
Bu gun 946m yapa bilecekmiyiz,Zeyneb,0,2023-08-03T14:04:29Z
726,Visible for jennies eyes only,0,2023-08-03T14:03:38Z
726k,Jensetter,1,2023-08-03T14:03:27Z
Kanka em0ji SIZIN AILENIZIN ILK SOYAD VEREN ECDADINIZA BENZIYOR,maria,0,2023-08-03T14:03:27Z
Eskiden bir jennie an-tisi vardı hiç an-ti gibi degildi kiraldi,RİYANA & 방울,0,2023-08-03T14:03:20Z
Sonrası yok mu:,Abdullah Mert,0,2023-08-03T14:04:24Z
Sonra,Abdullah Mert,0,2023-08-03T14:04:05Z
Möraba,Abdullah Mert,0,2023-08-03T14:03:03Z
⁠@RİYANA & 방울 reiss,Abdullah Mert,0,2023-08-03T14:04:45Z
Ha geldi asil kıral,RİYANA & 방울,0,2023-08-03T14:04:13Z
Gerizekali bi anti var su an cevap vermeyin sakın cikip gider simdi,Zeyneb,0,2023-08-03T14:02:36Z
AYNEN ONU GBRTMK İSTİYORUM ŞUAN KEŞKE YANIMDA OLSA DA O İĞRENÇ YÜZÜNÜ PARÇALASAM ÇOK SİNİRİMİ BOZUYO YA,Naz Ama Blink Olan,0,2023-08-03T14:03:50Z
726j,Ashok Kumar Mohana,0,2023-08-03T14:02:32Z
726k,Jenismylife,1,2023-08-03T14:02:27Z
Yuz bakimi seviyorum amma cok malzeme yok,maria,0,2023-08-03T14:02:12Z
726J,Lou,0,2023-08-03T14:02:08Z
726k,samantha,0,2023-08-03T14:01:48Z
Cemrenin papatyası sen her gün gel aşkım bir vibe geliyor senden anlatılmaz,RİYANA & 방울,0,2023-08-03T14:01:44Z
Moralim bozuk olduğunda jennienin sesi iyi geliyo o yzuden surekli geliyorum,skz hayattir kardesim,1,2023-08-03T14:01:25Z
🐽🐽🐽🐽🐽🐽🐽🐽🐷🐽🐷🐽🐷🐽🐽🐽🐽,lazy jennie,0,2023-08-03T14:01:09Z
​@Naz Ama Blink Olanyo 7 sulalesini si.kenlere,maria,0,2023-08-03T14:02:45Z
​@Naz Ama Blink OlanKABKA BANA BILE GIRDI EJWGWKNWKDK,skz hayattir kardesim,0,2023-08-03T14:02:41Z
Emoji look like your mom,Naz Ama Blink Olan,0,2023-08-03T14:02:14Z
"I heard that jisoo is in relationship, Is it true?",Ashok Kumar Mohana,0,2023-08-03T14:01:00Z
Yea,Naz Ama Blink Olan,0,2023-08-03T14:04:30Z
"There is no hate for jisoo's relationship, but hate for our Jennie's dating rumours.
It is not fair!!!",Ashok Kumar Mohana,0,2023-08-03T14:03:42Z
"Yes, dear",H H,0,2023-08-03T14:01:59Z
Yes,Zeyneb,0,2023-08-03T14:01:45Z
