Text,Author,Likes,Date
Şunu 800k yapalım gitmem lazım,-Lnseaji-,0,2023-08-03T13:24:31Z
1 billion for Solo,Stream Bona bona treasure,0,2023-08-03T13:24:28Z
CMON GUY WE NEED THIS TO REACH 1B VIEWS,Yo Yo,0,2023-08-03T13:24:15Z
Saat 18 kadar(sizde 17) 720k olur dimi,maria,1,2023-08-03T13:23:48Z
716k,Jessica Katwal,1,2023-08-03T13:23:43Z
Jennie is on the top of the world,Stream Bona bona treasure,2,2023-08-03T13:23:43Z
Everyone wants to get 1billion but no one can sacrificing thier chit-chats..!!,Anushka,2,2023-08-03T13:23:34Z
Olum Bi Lalisa tarafına bakayım dedim hiç Türk yok,-Lnseaji-,0,2023-08-03T13:22:58Z
Teume ler çok tatlı ve bizi sa-mıyorlar harikalar onların onuna kadar yanıdayız,RİYANA & 방울,2,2023-08-03T13:22:55Z
Oha iyi artmaya başladi,maria,0,2023-08-03T13:22:06Z
"​@~Jennierubyjane~evt.
.",maria,1,2023-08-03T13:22:49Z
Nazar değmesinnn,~Jennierubyjane~,1,2023-08-03T13:22:42Z
716k,rubyJane,0,2023-08-03T13:22:01Z
716k,s,0,2023-08-03T13:21:45Z
716K,~Jennierubyjane~,0,2023-08-03T13:21:27Z
5dk  2k,maria,0,2023-08-03T13:21:14Z
If views so stop commenting and watch it one FULL SCREEN..,Anushka,1,2023-08-03T13:21:11Z
716k,Ma Nge,0,2023-08-03T13:20:26Z
Don’t go anywhere anyone otherwise it’s become more pathetic..,Anushka,1,2023-08-03T13:20:10Z
I love you Nini,rubyJane,1,2023-08-03T13:20:06Z
716,Şilan,0,2023-08-03T13:20:05Z
715K,Jendeukie,0,2023-08-03T13:20:03Z
"Rosé's fans, dont worry we'll support gone and otg once we have made this 1B views. 🤍",Loom Icity,1,2023-08-03T13:20:00Z
715K,Abner Borja Jr.,3,2023-08-03T13:19:54Z
715,Gazali,1,2023-08-03T13:19:44Z
715,rubyJane,2,2023-08-03T13:19:41Z
Here I am,rubyJane,2,2023-08-03T13:19:36Z
CHOSSE ONE NOW: COMMENTS OR VIEWS??,Anushka,0,2023-08-03T13:19:23Z
Ok,Anushka,0,2023-08-03T13:21:45Z
715k artmiş 1k,maria,0,2023-08-03T13:19:14Z
715k,s,0,2023-08-03T13:18:53Z
"Fanséler de bize iyi davranıyor, birbirimize destek oluyoruz, aptal lizardlar gibi kavga çıkarmak yerine birlik olmak daha iyi",melek,4,2023-08-03T13:18:22Z
Agree+++++++,Annh Anh,0,2023-08-03T13:19:13Z
True,jungkook&thv,0,2023-08-03T13:18:57Z
715k,D.Serenaa17,0,2023-08-03T13:18:01Z
Love it❤❤❤,Nasima HA,3,2023-08-03T13:17:44Z
"STOP COMMENTING, FOCUS ON STREAMING PLSSS!!",Anushka,4,2023-08-03T13:17:36Z
Fanseyim ama jensetter yardım edicem gone için bize çok destek oldunuz otg da geliyorsunuz,nisa,5,2023-08-03T13:16:45Z
Let's collaborate rosieee blink,jungkook&thv,1,2023-08-03T13:18:22Z
"Surely dear, We will and are supporting OTG AND SOLO because both of song deserves many greatest things!!!",Annh Anh,1,2023-08-03T13:18:07Z
Möraba,Abdullah Mert,1,2023-08-03T13:16:38Z
Möraba kral,~Jennierubyjane~,1,2023-08-03T13:18:10Z
715k,Jeanerie Caling,0,2023-08-03T13:16:27Z
😡😡😠😡😠😡😠😡😠😡😠😡😠🐖🐷🐷🐷🐖👻😡🐖🐖👿👿👿🐒👿,"Caananuug Gar,ansax",0,2023-08-03T13:16:22Z
Тут ечть кто-то с чата jennie girls?,Elis L,0,2023-08-03T13:16:20Z
Есть*,Elis L,0,2023-08-03T13:16:34Z
🏳️‍🌈😠🏳️‍🌈😠😠🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈🏳️‍🌈😠😠😠🏳️‍🌈🏳️‍🌈😠👾👾👾👾🐽🐽🐽,"Caananuug Gar,ansax",0,2023-08-03T13:16:14Z
🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈😠😠🏳️‍🌈🏳️‍🌈😠🏳️‍🌈😠😠🏳️‍🌈😠🏳️‍🌈😠🏳️‍🌈,"Caananuug Gar,ansax",0,2023-08-03T13:16:06Z
Stop sp@ming,nisa,1,2023-08-03T13:15:59Z
🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈💩💩💩💩💩💩💩💩🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈💩💩💩💩💩💩💩💩💩💩💩💩💩,"Caananuug Gar,ansax",0,2023-08-03T13:15:58Z
@Lnseaji Fanse rose fandom ismi,nisa,1,2023-08-03T13:15:46Z
Okey,-Lnseaji-,0,2023-08-03T13:16:05Z
😅😡😡🤫🤫🤫🤫😤😤😤,"Caananuug Gar,ansax",0,2023-08-03T13:15:45Z
😡😡😡😡😡🤫😠😡😠😠😅😠😅😅😠😅😠,"Caananuug Gar,ansax",0,2023-08-03T13:15:36Z
Arkadaslar paratoner yapmanın vakti geldi,melek,1,2023-08-03T13:15:31Z
🏳️‍🌈😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅🏳️‍🌈,"Caananuug Gar,ansax",0,2023-08-03T13:15:17Z
❤❤❤,Kotori Hernz,0,2023-08-03T13:15:14Z
715k,signofthetimes,0,2023-08-03T13:15:09Z
🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈,"Caananuug Gar,ansax",0,2023-08-03T13:15:08Z
madem stre@m partisi veriliyor teumeler olarak destek verelim :),Hoonsukxm,1,2023-08-03T13:15:04Z
Yorunlar siliniyor nys sp yemeden bende full ekrana gecdim,maria,1,2023-08-03T13:15:02Z
😅😅😅😅😅😅😅😅,"Caananuug Gar,ansax",0,2023-08-03T13:14:54Z
